ID,IOU_VECTOR,F1_BOUNDARY,Shape_Similarity_Index
3701,0.26446963972955306,0.418515533594244,0.26414946327550026
371,0.446614056381837,0.622003142177792,0.44144952141417265
3716,0.8541009292015749,0.9224301799045047,0.8538872796596153
3717,0.4084811812942426,0.5803244088581517,0.4081554627156679
3732,0.7378487961569671,0.8502862392092526,0.7378976463571016
3733,0.11918740206401239,0.21300663735738887,0.11911050628466414
3746,0.5318258523970153,0.6953933710000979,0.5309753623064325
3759,0.7261331746869721,0.8414906507047643,0.7260852868844547
3771,0.689244631138787,0.8162077247842087,0.6893461748677523
3782,0.6099196723091258,0.7580383877863588,0.6098161381559891
3793,0.41454327779535477,0.5867359968957265,0.41382153016871087
3804,0.3960768457369585,0.5676727084692967,0.3958956530209052
3805,0.160608044166678,0.2768528886717986,0.16094536738354392
3806,0.06304618384083854,0.1186141953999865,0.06304618332647051
3816,0.5770318876993603,0.7330183299143016,0.5760658199035803
3817,0.17297142048568478,0.29492861895687783,0.17297187313043297
3829,0.2177154502865004,0.3575801724445846,0.2177154505411432
3840,0.6779941513649638,0.8085691507912152,0.6778755362597648
3841,0.0358173780338047,0.06915770830175344,0.035817377834508175
3851,0.6120006042262006,0.7600162822012227,0.6114800260692239
3862,0.2501185427900319,0.40088149372928933,0.2486326565395474
3873,0.3736741835974846,0.5440775830899903,0.3736392842129609
3874,0.018402096548101172,0.03614036731987786,0.018370740907158876
393,0.16084873510343103,0.27726396820618465,0.1603584342701265
394,0.5005665011256457,0.6686137962417186,0.49903733083789187
416,0.5151603006595012,0.6813169643050868,0.5138409877026602
433,0.00036362021432398124,0.0007269760854483328,0.00036362021578798795
434,0.1260461079786747,0.224086517361722,0.12513016985698777
435,0.7101548997234854,0.8320319443932966,0.7096281753822608
452,0.01306290962162316,0.02578894064439171,0.013062909546077014
453,0.45397676544192483,0.6251109757061475,0.4534910590206741
454,0.7651720619519746,0.8678655672452892,0.7649918112307205
468,0.0021133970386037577,0.004217880022059702,0.0021133970432144085
469,0.6372794274550646,0.7796680404945188,0.6365621269339133
470,0.8739025962388414,0.9353943970309654,0.8739114346128866
481,0.011246824393679715,0.022243480271189633,0.011246824410150992
482,0.2035615023030091,0.33826522711614937,0.2035615025564676
4824,0.20089563688984952,0.33483290352121553,0.20074408574907857
4827,0.04447813403552841,0.08516814777860264,0.044478134177961405
483,0.7984433579922339,0.8891656409520571,0.7984101806894272
4830,0.45435274075803156,0.6253462172797523,0.45374249143950796
493,0.04391239086944701,0.08413041411638623,0.0439123910082839
494,0.36588144119428473,0.5361740063752234,0.36524229017310134
504,0.25781983631618904,0.40997458343671084,0.25776340253201463
513,0.29180504158356946,0.4518555528596358,0.291651474290667
514,0.6039705223243389,0.754822161036655,0.6026386701862387
